BENIDORM CHESS OPEN A 2025;;;;;;;;;;;;;;
Benidorm (Alicante), 2025-10-26 - 2025-11-02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;BH/C1;BH;REP;WIN;BPG;APPO;FIDE;Origen/Club;Info
1;7;FM;Manukyan, Sargis A.;ARM;6,5;38.0;42.5;8;5;3;2271;2322;Armenia;PH
2;2;IM;Lumachi, Gabriele;ITA;6,0;38.5;42.0;8;5;4;2325;2430;Italia;PH
3;1;IM;Medarde Santiago, Luis Marcos;ESP;6,0;36.0;39.5;8;5;3;2289;2436;Padrón;PH
4;3;IM;Favaloro, Andrea;ITA;6,0;35.5;39.0;8;4;4;2236;2406;Italia;PH
5;4;FM;Ezra Paul Chambers;BDI;6,0;33.5;36.5;8;6;4;2203;2362;Burundi;PH
6;10;FM;Mingarro Carceller, Sergi;ESP;6,0;33.5;36.5;8;5;4;2201;2282;Vila-real;PCV
7;6;IM;Sofronie, Iulian;ROU;5,5;35.5;39.0;8;3;4;2234;2349;Rumanía;PH
8;15;FM;Sanchez Saez, Francisco;ESP;5,5;35.0;38.0;8;5;4;2201;2241;EVA Manises;PHCV
9;19;FM;Gomez Anadon, Daniel;AND;5,5;33.5;37.0;8;5;4;2183;2198;Andorra;PH
10;30;FM;Tonndorf, Matthias;GER;5,5;33.0;36.0;8;5;4;2206;2133;Alemania;PH
11;11;IM;Tsyhanchuk, Stanislav;FID;5,5;33.0;36.0;8;4;4;2142;2274;;PH
12;23;FM;Rey Malde, Henrique;ESP;5,5;32.0;34.5;8;3;3;2124;2174;Ourense;PH
13;16;FM;Sofronie, Vladimir;ROU;5,5;31.5;35.0;8;3;4;2200;2236;Rumanía;PH
14;71;;Paarshva Parmar;IND;5,0;35.5;39.0;8;4;3;2172;1922;India;PH
15;8;FM;Rey Martinez, Jaime;ESP;5,0;32.5;36.0;8;4;4;2174;2317;Madrid;PH
16;26;;Cubillo Munoz, Miguel;ESP;5,0;32.0;35.5;8;2;4;2208;2147;Madrid;PH
17;60;;Nechifor, David;ESP;5,0;30.5;35.5;7;2;4;2109;2002;La Vila;PCV
18;37;;Bukharkov, Stepan;FID;5,0;30.5;33.0;8;3;4;2115;2108;Xàbia;PCV
19;62;;Peng, Tianlu;CHN;5,0;30.5;32.0;8;4;4;1993;1990;China;PH
20;21;;Atienza Alvarez, Javier;ESP;5,0;29.5;31.5;8;4;4;2095;2185;Alcoy;PHCV
21;13;FM;Redzisz, Michal;POL;5,0;26.0;27.5;8;3;4;2002;2254;Polonia;PH
22;27;;Torosyan Saghatelyan, Arturo;ESP;5,0;25.5;27.5;8;5;4;2015;2140;Mislata;PHCV
23;12;FM;Serarols Mabras, Bernat;ESP;4,5;36.5;41.0;7;3;3;2296;2264;Andreu Paterna;PCV
24;44;;Horcajada Reales, Guillermo;ESP;4,5;34.5;39.0;7;3;4;2232;2084;Asturias;PH
25;20;;Gruenter, Martin;GER;4,5;34.0;35.5;8;3;4;2169;2194;Alemania;PH
26;56;;Martin Rodriguez, Emilio;ESP;4,5;33.0;36.5;8;2;4;2159;2018;Villaverde;PH
27;24;WFM;Jimenez Fernandez, Rebeca;ESP;4,5;32.5;36.0;8;3;4;2181;2163;Zarandona;PH
28;22;IM;Mannion, Stephen R;SCO;4,5;31.0;33.0;8;3;4;2159;2178;Escocia;PH
29;9;CM;Felix, Raphael;RSA;4,5;30.5;35.0;7;3;3;2133;2290;Sudáfrica;PH
30;25;IM;Meszaros, Andras;HUN;4,5;29.5;34.0;6;3;3;2090;2150;Hungría;PH
31;73;CM;Safin Safarullakhan;UAE;4,5;29.5;32.5;8;4;4;2062;1915;India;PH
32;40;;Deusa Ballesteros, Lucas;ESP;4,5;29.5;31.0;8;2;4;2006;2101;Alaquàs;PHCV
33;75;;Siddharth, Sai;SGP;4,5;29.0;32.0;8;3;4;2071;1905;Singapur;PH
34;36;;Farkash, Denys;UKR;4,5;29.0;30.5;8;4;4;2051;2111;Ucrania;PH
35;50;;Racis, Michal;POL;4,5;28.5;31.0;8;3;4;2077;2060;PZSZACH;PH
36;33;;Boyer Censore, Giuseppe Enmanuel;VEN;4,5;27.5;30.0;8;4;4;2099;2127;Venezuela;PH
37;39;;Albin Sajan;IND;4,5;25.5;27.5;8;3;4;1994;2101;India;PH
38;32;IM;Stachanczyk, Jacek;POL;4,0;33.5;36.5;8;3;4;2143;2129;PZSZACH;PH
39;82;;Dudarec, Elias;CZE;4,0;31.5;34.5;8;2;4;2104;1846;República Checa;PH
40;43;;Segarra Victorio, Israel;ESP;4,0;31.0;35.0;7;2;4;2166;2086;Ateneu Elx;PHCV
41;14;;Delfino, Luigi;ITA;4,0;31.0;34.0;8;2;4;2137;2249;Italia;PH
42;18;WFM;Rodriguez Redondo, Adhara;ESP;4,0;30.5;34.5;7;3;4;2167;2208;Beniaján;PH
43;49;;Koenig, Christian;GER;4,0;30.5;34.5;6;2;3;2097;2061;Alemania;PH
44;63;;Jess Ruchandani;IND;4,0;30.5;32.5;8;3;4;2057;1967;India;P
45;29;;Palomo Teruel, Xavier;ESP;4,0;28.5;32.5;7;3;3;2129;2137;Cataluña;PH
46;5;IM;Hernandez, Cristian Andres;COL;4,0;28.5;32.5;6;2;3;2127;2355;Colombia;PH
47;48;;Sanchez Barbado, Carlos;ESP;4,0;28.5;31.0;8;4;4;2093;2063;La Vila;PCV
48;42;;Jankowiak, Piotr;POL;4,0;21.0;25.0;7;2;3;1951;2093;Polonia;PH
49;53;;Abel Sajan;IND;3,5;34.0;38.0;8;1;4;2164;2046;India;PH
50;46;;Munoz Osete, Marcos;ESP;3,5;30.5;34.0;7;2;4;2147;2075;La Vila;PCV
51;52;;Blanco Sanjuan, Jorge;ESP;3,5;30.5;33.0;8;3;4;2094;2056;Madrid;P
52;17;;Gomez Sanjuan, Hector Fernando;ESP;3,5;29.0;32.5;6;2;3;2128;2235;Alcoy;PHCV
53;80;;Witter, Jannes;GER;3,5;29.0;32.0;8;2;4;2056;1881;Alemania;PH
54;34;;Nicolas Zapata, Javier;ESP;3,5;28.0;30.0;8;3;4;2058;2124;Raspeig;PCV
55;35;;Ramirez Maillo, Cristian;ESP;3,5;28.0;29.5;8;2;4;2044;2112;Las Palmas;PH
56;28;FM;Delaney, John;IRL;3,5;27.5;31.0;7;1;4;2120;2137;Irlanda;PH
57;31;;Bercaru, Vlad Ionut;ESP;3,5;27.0;29.0;8;3;4;2056;2131;Monteolivete;PHCV
58;65;;Ramirez Maillo, Juan Adonay;ESP;3,5;27.0;28.5;8;2;4;1928;1963;Telde;PH
59;54;;Sendra Tormo, Juan;ESP;3,5;26.5;30.0;7;1;3;2043;2026;FACV;PHCV
60;68;;Troffiguer, Olivier;FRA;3,5;26.5;29.0;8;2;4;1984;1950;Francia;PH
61;45;WFM;Sunea, Sara Maria;ROU;3,5;26.0;28.5;8;2;4;2034;2083;Rumanía;PH
62;59;;Martinez Gonzalez, Miguel A.;ESP;3,5;26.0;27.5;8;3;4;1981;2004;CD En Jaque;P
63;51;;Salvador Cabo, Cesar;ESP;3,5;25.0;26.5;8;3;4;1990;2059;Madrid;P
64;70;;O`Neill Y Daneiko, Jose Antonio;ESP;3,5;24.5;28.0;5;2;3;1957;1924;Gambito-Benimaclet;PHCV
65;87;;Lukasiewicz, Ignacy;POL;3,5;23.5;25.5;8;2;4;1946;1812;PZSZACH;PH
66;57;CM;Fernandez Manrique, Agustin;ESP;3,0;29.5;32.5;8;2;4;2065;2013;ONCE;PH
67;79;;Migala, Andrzej;POL;3,0;28.5;31.5;7;1;3;2065;1892;PZSZACH;PH
68;55;CM;Sakulski, Bernard;ESP;3,0;28.0;29.5;8;3;4;2022;2018;Galicia;PH
69;47;;Draghici Flutur, Gavril;ESP;3,0;26.5;28.5;8;2;4;2016;2074;ONCE;PH
70;83;WCM;Yasaswi Krishna Bommi;IND;3,0;26.5;28.5;8;2;4;1973;1844;India;PH
71;74;;Rustan, Elias Buschmann;NOR;3,0;26.5;28.5;8;2;4;1971;1907;Noruega;PH
72;72;;Fox, Anthony;IRL;3,0;24.0;27.0;8;2;3;1960;1921;Irlanda;PH
73;58;;Ambru, Dan-Calin;ROU;3,0;24.0;26.0;8;1;4;1983;2007;CS Atlas Sah;PH
74;78;;Marquinez Cabrejas, Francisco J.;ESP;3,0;23.5;26.5;8;1;4;1931;1894;País Vasco;PH
75;69;;Zanoletty Garcia, David;ESP;3,0;23.5;25.0;8;1;4;1936;1934;ONCE;PH
76;61;;Martin Martin, Luis Vicente;ESP;3,0;22.0;25.0;7;2;4;1955;2000;Madrid;PH
77;38;;Soriano Maya, Juan Pablo;ESP;3,0;21.0;23.5;8;0;4;1972;2106;FACV;PHCV
78;67;;Olivera Gutierrez, Albert;ESP;2,5;26.5;29.0;8;1;4;1992;1953;ONCE;PH
79;88;;Vollheim, Daniel O;NOR;2,5;26.5;28.0;8;2;4;1956;1808;Noruega;PH
80;81;;Borecky, Andrej;CZE;2,5;26.0;28.0;8;2;4;1976;1858;República Checa;P
81;76;;Cafolla, Peter;IRL;2,5;25.0;27.5;7;1;3;1998;1902;Irlanda;PCV
82;66;;Bara, Jan;CZE;2,5;23.0;24.5;8;2;4;1903;1962;República Checa;PH
83;85;;Basualdo De Ornelas, Jorge;POR;2,5;21.0;22.5;8;1;4;1830;1826;Las Palmas;PH
84;41;;Martinez Cardenas, Sebastian Hor;VEN;2,0;25.0;27.0;7;2;4;2053;2099;Venezuela;P
85;84;;Stuhaug, Raphael Iglesisas;NOR;2,0;24.5;26.5;8;0;5;1945;1839;Noruega;PH
86;64;;Munoz Suarez, Luis Alberto;ESP;2,0;20.0;22.0;7;1;3;1935;1964;Zaragoza;PH
87;86;;Gawle, Ireneusz;POL;1,5;25.5;27.0;8;0;4;1936;1823;Polonia;PH
88;77;;Williams, Duncan;WLS;1,5;20.0;21.5;4;0;2;2045;1897;Gales;PH
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BENIDORM CHESS OPEN A 2025 - https://info64.org/benidorm-chess-open-a-2025;;;;;;;;;;;;;;
