BENIDORM CHESS OPEN B Sub-2000 2024,,,,,,,
"Benidorm, 2024-10-27 - 2024-11-03",,,,,,,
,,,,,,,
Ranking inicial   ,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,FIDE ID,Origen/Club,Info
1,,"Mancebo Ibanez, Fernando",ESP,1999,2204193,Ateneo Marítimo,PHCV
2,,"Megias Chafer, Alejandro",ESP,1987,2220717,Escacs Xàtiva,PCV
3,,"Donate Villalba, Juan Francisco",ESP,1984,24527661,Caja de Vecindario,PH
4,,"Turner, Justin",AUS,1981,3225593,Basilio,PHCV
5,,"Blanco Sanchez, Jose Fernando",ESP,1975,2203332,Alcobendas,P
6,,"Lloret Climent, Miguel",ESP,1975,2206439,Alonis,PCV
7,,"Vilarnovo Caamano, Jose",ESP,1972,2216590,Villaverde,PH
8,,"Martin Martin, Luis Vicente",ESP,1959,2220300,San Viator,PH
9,,"Reig Albero, Ferran",ESP,1958,2207516,Alzira,PHCV
10,,"Rodriguez Dogmoch, Kyran",ESP,1953,54758017,Metro Club,H
11,,"Nazarov, Alexander",FID,1950,24164950,CapablancaTorrevieja,HCV
12,,"Revilla Rio, Francisco",ESP,1948,2253720,Regatas,P
13,CM,"Uran Bermudez, Oliver Kevin",VEN,1943,3903354,Monteolivete,CV
14,,"Hernando Santiago, Alberto",ESP,1940,24565261,Independiente,PCV
15,,"Martinez, Sebastian",VEN,1940,3908453,Venezuela,P
16,,"Oreshkin, Vladislav",ESP,1940,54535603,Alfaz del Pi,PCV
17,,"Clausen, Karl Erik",ESP,1934,54585767,Alicante,PCV
18,,"Nechifor, David",ESP,1934,54788455,La Vila,PCV
19,,"Perez Garcia, Jose Miguel",ESP,1933,2227657,CM Castellón,PHCV
20,,"Fernandez Cobos, Iker",ESP,1932,54774764,Mikel Gurea,H
21,,"de Leon Navarro, Claudio",ESP,1931,32078099,Caja de Vecindario,PH
22,,"Ruiz Ureta, Ernesto",ESP,1927,22229833,Zamora,PH
23,,"Borrego Gil, Diego",ESP,1922,2256657,Trebejos,PH
24,,"Mendez Martinez, Jose Manuel",ESP,1918,2243350,Cabezo de Torres,PH
25,,"Olivera Gutierrez, Albert",ESP,1915,2230070,FEDC ONCE Barcelona,H
26,,"Hassomal Daswani, Birjkumar",ESP,1913,2224356,Dama Roja,PHCV
27,,"Perez Garcia, Juan Angel",ESP,1910,2211262,Ateneo Albacetense,PH
28,,"Moya Albaladejo, Jose Antonio",ESP,1907,2224046,Mar Menor,PH
29,,"Rios Garcia, Miguel",ESP,1905,2219000,Castell de Riba-roja,PHCV
30,,"Moreno Cervera, Jose Luis",ESP,1904,2274213,Oliva,PCV
31,,"Roca Cruz, Rafael",ESP,1902,32022450,Alzira,PHCV
32,,"Pajuelo Morales, Raul",ESP,1901,2231050,Vallecas Villa,P
33,,"Moreno Latorre, Francisco Jose",ESP,1897,2221020,Ramiro,PH
34,,"O`Neill Y Daneiko, Jose Antonio",ESP,1897,2237733,Gambito Benimaclet,HCV
35,,"Unciti Juan, Javier",ESP,1897,2216027,Filántropos Equigoma,P
36,,"Camison Zornoza, Cesar",ESP,1895,24580376,Andreu Paterna,PHCV
37,,"Jara Segovia, Jesus Javier",VEN,1891,3925439,Venezuela,H
38,,"Levko, Mykola",UKR,1891,14105969,Alonis,PCV
39,,"Campos Calvo-Sotelo, Juan",ESP,1888,2251540,Alcobendas,PH
40,,"Williams, Duncan",WLS,1887,1805592,Morriston,PH
41,,"Wong, Yen-Hsiu Elliot",SGP,1885,5827701,Singapur,PH
42,,"Olivares Gomez, Mario",ESP,1883,54532779,Gambito Benimaclet,PCV
43,,"Picornell Morant, Jose Enrique",ESP,1880,2214741,Xeraco,PHCV
44,,"Prieto, Alberto",USA,1878,2083426,USA,PH
45,,"Kane, Robert",ENG,1873,420468,Reino Unido,PH
46,,"Segarra Victorio, Israel",ESP,1871,54788633,Ateneo Elx,PCV
47,,"Wu, Yugong",ESP,1869,54551919,CapablancaTorrevieja,PHCV
48,,"Garcia, Omar",MEX,1866,5117542,Mexico,H
49,,"Lobato Lavin, Alvaro",ESP,1865,2212005,Tres Peons,P
50,,"Corcoran, Gary",ENG,1860,418560,Reino Unido,PH
51,,"Viudes Serra, Aaron",ESP,1858,2247658,Alonis,CV
52,,"Fernandez Garcia, Ignacio",ESP,1851,2226782,La Didáctica,PH
53,,"Safir, Iaroslav",ISR,1849,2863235,Israel,P
54,,"Selva Salvador, Antonio",ESP,1847,2223821,Andreu Paterna,PHCV
55,,"Buenafe Moya, Jesus",ESP,1836,2247780,Zugzwang,HCV
56,,"Lopez Heras, Arturo",ESP,1832,2225433,La Didáctica,PH
57,,"Lopez Capape, Armando",ESP,1827,2277603,Ramiro,PH
58,,"Algaze Obadia, Rodrigue",FRA,1825,651013703,Xàbia,PCV
59,,"Post, Maarten",NED,1822,1025970,Vegtlust,PH
60,,"Martinez Martin, Francisco",ESP,1819,24581208,Primitiva de Xàtiva,PCV
61,,"Fernandez Perez, Josep",ESP,1816,32023910,Hortenc,PH
62,,"Nieto Lopez, Francisco Ramon",ESP,1810,2277646,Ateneo Albacetense,H
63,,"Parreno Banuls, Raul",ESP,1805,24511218,Montserrat,PHCV
64,,"Risueno Banuls, Manuel",ESP,1805,523003561,Ibi,PCV
65,,"Albuixech Sanz, Jorge",ESP,1804,22218149,Escacs Xàtiva,PHCV
66,,"Victoria De Marco, Jose Andres",ESP,1802,2273489,Quart,PHCV
67,,"Gonzalez Gorriz, Javier",ESP,1787,54562201,Montserrat,PHCV
68,,"Perez Pascual, Arturo",ESP,1782,2253062,Madrid,PH
69,,"Cappelle, Cedric",ESP,1780,54552400,El Caballo,PH
70,,"Fernandez Coya, Jose Luis",ESP,1772,24560901,FEDC Algete 2008,PH
71,,"Levy, Christopher A",ENG,1768,431320,Hackney,PH
72,,"Soler Nadal, Jose Antonio",ESP,1768,2294729,Xeraco,PHCV
73,,"Vicente Soriano, Josep",ESP,1767,2270978,Calldetenes,PH
74,,"Richards, Joshua",WLS,1762,1808508,Independiente,PH
75,,"Winter, Kevin",ENG,1762,421960,Reino Unido,PH
76,,"Minguela Munoz, Bienvenido",ESP,1761,2282143,Alcobendas,PH
77,,"Planelles Ortega, Emilio",ESP,1759,2237750,Ateneo Elx,PCV
78,,"Salguero Roldan, Francisco",ESP,1757,32067364,P.A. Portuense,PH
79,,"Guio Del Rio, Jose Antonio",ESP,1755,94797480,La Vila,PCV
80,,"Legarda Iturrioz, Jose Javier",ESP,1753,22260544,Tamarindo,PH
81,,"Fernandez Cabrero, Fernando",ESP,1743,32025971,FEDC Gbito.Santander,PH
82,,"Khassenov, Miras",KAZ,1743,13782835,Kazajstan,PH
83,,"Cummings Follana, Cristopher",ESP,1741,32047070,Alicante,PCV
84,,"Borrego Manzano, Andres",ESP,1730,2237504,Camargo,PH
85,,"Pedchenko, Serhiy",ESP,1726,24523330,Mikel Gurea,H
86,,"Orti Boix, Miguel",ESP,1723,2262304,Masdenverge,PH
87,,"Diaz Begonte, Manuel",ESP,1717,2262002,Magerit,PH
88,,"Hladiy, Mark",ESP,1716,54705380,CapablancaTorrevieja,PCV
89,,"Kiesling, Charles",USA,1711,39951502,USA,PH
90,,"Penades Ordaz, Miguel",ESP,1711,523056282,Basilio,PCV
91,,"Arteaga Carrillo, Fernando",ESP,1708,523055090,Ateneo Elx,PCV
92,,"Tedd, Bernie",ENG,1702,499552,Reino Unido,PH
93,,"Tang, Xinzhi",CHN,1696,8648620,China,H
94,,"Petrosyan, Michal",POL,1679,91152747,Polonia,PH
95,,"Sushrutha, Reddy",IND,1679,5039100,India,PH
96,,Manabi Chouhan,IND,1674,45047278,India,PH
97,,"Garcia Diaz, Jose",ESP,1671,24538329,FEDC,H
98,,"Verhoeven, Rudiger",ESP,1670,24563013,Shahmat Salucar,PH
99,,"Martinez Torres, Jose Manuel",ESP,1667,2246660,FEDC Escola Castelló,HCV
100,,"Escude De Jesus, Kevin",ESP,1662,523078340,Terrassa,PH
101,,"Deiana, Giacomo",ITA,1659,843750,Snake Chess Sassari,PH
102,,"Riera Mestres, Josep",ESP,1658,22256709,Tona La-Crema,PH
103,,"Rincon Martin, Santiago",ESP,1656,2286890,FEDC,PH
104,,"Embuena Molina, Miguel Angel",ESP,1655,54745128,Independiente,HCV
105,,"Valiente Zabalza, Daniel",ESP,1653,523055774,La Vila,PCV
106,,"Parypa, Vsevolod",UKR,1649,34186735,Mutxamel,PCV
107,,"Borisovskii, Mikhail",ESP,1646,523028297,Marbella Chess Club,PH
108,,"Esteve Perez, Manuel Fulgencio",ESP,1646,22236074,Clubexa,PH
109,,"Oltra Navarro, Emilio Jose",ESP,1646,94714444,Gambito Benimaclet,HCV
110,,"Corpa Rios, Flavio",ESP,1639,54792525,Dama Negra,PCV
111,,"Morata Perez, Jose",ESP,1632,24521612,Trebejos,PH
112,,"Mulet Salva, Jeroni",ESP,1629,94714606,Xabia,PCV
113,,"Proudfoot, Andy",ENG,1625,487910,Reino Unido,PH
114,,"Casadevall Mainau, Iraida",ESP,1617,54543142,FEDC,H
115,,"Gonzalez Caceres, Lauren",ESP,1607,54718228,Alicante,PCV
116,,"Arana Rodriguez, Marlon Uriel",ESP,1604,94772452,Alfaz del Pi,PCV
117,,"Fernandez Arrizabalaga, Raul",ESP,1590,22244700,FEDC Valdesva,PH
118,,"Ding, Yicheng",ENG,1582,483087,Beckenham,PH
119,,"Kushnir, Demyan",UKR,1578,34106588,Lviv Chess Academy,PH
120,,"Nettleton, Robin",ENG,1572,422789,Reino Unido,PH
121,,"Prieto Iniguez, Diego",ESP,1572,523084006,Independiente,PCV
122,,"Jimenez Mahillo, David",ESP,1566,22208151,FEDC ONCE Madrid,H
123,,"Mabras Lloret, Monserrat",ESP,1558,32018347,Andreu Paterna,PHCV
124,,"Yanston, Kseniia",ESP,1554,55634184,Alicante,PCV
125,,"Alarcon Alarcon, Marina",ESP,1539,32010516,FEDC ONCE Barcelona,PH
126,,"Iglesias Estrada, Jesus",ESP,1532,32010567,FEDC,PH
127,,"Torrelles Perez, Josep",ESP,1522,94735069,Montserrat,PHCV
128,,"Genis Traveria, Ferran",ESP,1520,24519707,Vic,PH
129,,"Millan Ibanez, Cesar Jesus",ESP,1520,523008318,Alicante,PCV
130,,"Mena Lena, Antonio",ESP,1506,32010583,FEDC Cibeles Mérida,H
131,,"Silvestre Margos, Manuel",ESP,1494,54534542,Montserrat,PHCV
132,,"Carrascosa Grau, Eduard",ESP,1486,94715858,Almussafes,PHCV
133,,"Alameda Ibanez, Jose Antonio",ESP,1475,94741212,FEDC,PH
134,,"Llorente Quintero, Adrian",ESP,1468,94796246,Montserrat,PHCV
135,,"Ulla Centelles, Llorens",ESP,1457,24541087,Montserrat,PHCV
136,,"Penades Chuluunpurev, Marco",ESP,1451,523009667,Basilio,PCV
137,,"Llorente Quintero, Sara",ESP,1450,94735050,Montserrat,PHCV
138,,"Montilla Bejarano, Carmen",ESP,1450,32049463,FEDC,H
139,,"Villar Ramos-Izquierdo, Maria Do",ESP,1443,94759162,Xabia,PHCV
140,,"Gersemann, Olaf",GER,1440,34605215,Alemania,PH
141,,"Munoz Martinez, Francisco",ESP,1430,24594482,Ateneo Elx,PCV
142,,"Kindts, Christelle",BEL,1424,264350,KGSRL Gent,P
143,,"Ledesma Ledesma, Jose Ignacio",ESP,1419,54546281,FEDC Portugalete,PH
144,,"Galletero Monsalve, Juan Francis",ESP,1403,22281398,FEDC Torrefiel,PHCV
145,,"Avetisyan, Vachagan",ARM,0,13326651,Armenia,PH
146,,"Becerra Izquierdo, Juan Carlos",ESP,0,54731925,Tomelloso,PH
147,,"Denisenko, Andrei",FID,0,522087036,Xabia,P
148,,"Ding, Jie",CHN,0,8609705,China,PH
149,,"Ding, Yihua",ENG,0,495999,Beckenham,PH
150,,"Hustad, Espen Sandoy",NOR,0,1589199,Noruega,PH
151,,"Lin, Hung-Chu",TPE,0,16305370,Taiwán,PH
152,,"Marcos Rey, Roberto",ESP,0,523096969,FEDC,H
153,,"Martinez Navarro, Francisco Javi",ESP,0,523067438,El Rey,H
154,,"Martinez Perez, Isaac",ESP,0,535022019,Alonis,PCV
155,,"Torrelles Garcia, Jose Emilio",ESP,0,94782539,Montserrat,PHCV
156,,"Utrera Alba, Juan Luis",ESP,0,535017554,Ateneo Elx,HCV
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
BENIDORM CHESS OPEN B Sub-2000 2024 - https://info64.org/benidorm-chess-open-b-sub-2000-2024,,,,,,,
